Vedat Verter	Faculty of Management, McGill University, 1001 Sherbrooke St. W., Montreal, Quebec, Canada
Iffat A. Gheyas	Department of Computing Science and Mathematics, University of Stirling, Stirling, FK9 4LA, Scotland, UK
Leslie S. Smith	Department of Computing Science and Maths, University of Stirling, Stirling FK9 4LA, Scotland, UK
A. Carmona-Poyato	Departamento de Informática y Análisis Numérico, Edificio Einstein, Campus de Rabanales, Universidad de Córdoba, 14071 Córdoba, Spain
F. J. Madrid-Cuevas	Departamento de Informática y Análisis Numérico, Edificio Einstein, Campus de Rabanales, Universidad de Córdoba, 14071 Córdoba, Spain
R. Medina-Carnicer	Departamento de Informática y Análisis Numérico, Edificio Einstein, Campus de Rabanales, Universidad de Córdoba, 14071 Córdoba, Spain
Rafael Muñoz-Salinas	Department of Computer Science and Artificial Intelligence, E.T.S. de Ingeniería Informática, University of Granada, 18071 Granada (Spain)
F. A. Andaló	Institute of Computing, University of Campinas (Unicamp), 1251 CEP 13084851, Campinas, SP, Brazil
Ricardo da Silva Torres	UNICAMP, Brazil
Tristan Roussillon	Universite de Lyon, France
Isabelle Sivignon	Laboratoire LIS, 961 rue de la Houille Blanche, Domaine Universitaire  BP46, 38402 Saint Martin D’Héres Cedex, France
Laure Tougne	Laboratoire ERIC, Bron, France
Gonzalo Martínez-Muñoz	Universidad Autónoma de Madrid, Madrid, Spain
Alberto Suárez	Institut Eurecom, Sophia Antipolis, France
Joviša unić	Computer Science Department, Exeter University, Exeter EX4 4QF, UK
Paul L. Rosin	Department of Computer Science and Informatics, Cardiff University, UK
G. A. Papakostas	Democritus University of Thrace, Department of Electrical and Computer Engineering, 67100 Xanthi, Greece
E. G. Karakasis	Democritus University of Thrace
Dimitris E. Koulouriotis	Democritus University of Thrace
Miin-Shen Yang	Department of Mathematics, ChungYuan Christian University, ChungLi, 32023 Taiwan, ROC
Huazhong Ning	University of Illinois at UrbanaChampaign
Yuechen Chi	University of California, Los Angeles, CA
Yifan Gong	Microsoft Corporation, One Microsoft Way, Redmond, WA 98052, USA
Eyke Hüllermeier	Department of Mathematics and Computer Science, University of Marburg, Germany
Stijn Vanderlooy	MICC, Department of Computer Science, Maastricht University, Maastricht, The Netherlands
Sri-Kaushik Pavani	Center for Computational Imaging & Simulation Technologies in Biomedicine (CISTIB), Information & Communications Technologies Department, Universitat Pompeu Fabra, Barcelona, Spain 08003 and Netwo ...
David Delgado	National University of Colombia
Alejandro F. Frangi	IEEE
Yufei Zha	Air Force Engineering University, xi'an, China
Yuan Yang	Korea University, Seoul, Korea
S. Gong	Softwords, Victoria, B.C., Canada
Shandong Wu	Department of Manufacturing Engineering and Engineering Management, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, Hong Kong
Shuhan Shen	Institute of Automation, Chinese Academy of Sciences, Beijing 110093, China
Chih-Fong Tsai	Department of Information Management, National Central University, Taiwan, ROC
Chia-Ying Lin	Department of Information Management, National Central University, Taiwan
Laurent D. Cohen	CEREMADE, UMR 7534 CNRS Université Paris Dauphine, France
M. Ortega	Grupo de Visión Artificial y Reconocimiento de Patrones, University of A Coruña, A Coruña, Spain
Jiawei Tian	Second Affiliated Hospital of Harbin Medical University, Harbin, PR China
