conf/icde/Zimmerman84	conf/er/Zimmerman83
conf/icde/DunkelS99	conf/kdd/AgrawalMSSAB96
conf/icde/DunkelS99	conf/sigmod/AgrawalIS93
conf/icde/DunkelS99	books/mit/fayyadPSU96/AgrawalMSTV96
conf/icde/DunkelS99	conf/vldb/AgrawalS94
conf/icde/DunkelS99	conf/sigmod/Bayardo98
conf/icde/DunkelS99	books/mg/SilberschatzKS97
conf/icde/DunkelS99	conf/kdd/ZakiPOL97
conf/icde/KeimKS94	conf/icde/AnwarBN92
conf/icde/KeimKS94	books/cu/DunnE82
conf/icde/KeimKS94	books/mit/PF91/FrawleyPM91
conf/icde/KeimKS94	journals/csur/HallD80
conf/icde/KeimKS94	journals/ai/Kaplan82
conf/icde/KeimKS94	conf/ids/KeimL92
conf/icde/KeimKS94	journals/tkde/Motro90
conf/icde/KeimKS94	journals/ipm/Salton88
conf/icde/KeimKS94	journals/ipm/SaltonB88
conf/icde/KeimKS94	journals/sigmod/SilberschatzSU90
conf/icde/HatonenKMRT96	books/mit/fayyadPSU96/AgrawalMSTV96
conf/icde/HatonenKMRT96	conf/vldb/AgrawalS94
conf/icde/HatonenKMRT96	books/mit/fayyadPSU96/FayyadPS96
conf/icde/HatonenKMRT96	books/mit/FayyadPSU96
conf/icde/HatonenKMRT96	conf/cikm/KlemettinenMRTV94
conf/icde/HatonenKMRT96	journals/jiis/Klosgen95
conf/icde/HatonenKMRT96	conf/kdd/MannilaTV94
conf/icde/HatonenKMRT96	conf/kdd/MannilaTV95
conf/icde/HatonenKMRT96	books/mit/fayyadPSU96/MatheusPM96
conf/icde/HatonenKMRT96	books/mit/PiatetskyF91
conf/icde/ZakiHA99	conf/vldb/AgrawalGIIS92
conf/icde/ZakiHA99	journals/tkde/AgrawalIS93
conf/icde/ZakiHA99	conf/kdd/AlsabtiRS98
conf/icde/ZakiHA99	books/wa/BreimanFOS84
conf/icde/ZakiHA99	conf/cikm/ChanS93
conf/icde/ZakiHA99	conf/edbt/MehtaAR96
conf/icde/ZakiHA99	books/eh/MichieST94
conf/icde/ZakiHA99	 
conf/icde/ZakiHA99	books/mk/Quinlan93
conf/icde/ZakiHA99	conf/vldb/ShaferAM96
conf/icde/ZakiHA99	books/mk/WeissK90
conf/icde/MeoPC98	conf/sigmod/AgrawalIS93
conf/icde/MeoPC98	conf/kdd/AgrawalS96
conf/icde/MeoPC98	conf/vldb/AgrawalS94
conf/icde/MeoPC98	conf/sebd/BaralisCMPRR97
conf/icde/MeoPC98	conf/kdd/HanFWCGKLLRSXZ96
conf/icde/MeoPC98	conf/vldb/Toivonen96
conf/icde/MeoPC98	conf/kdd/ImielinskiVA96
conf/icde/MeoPC98	conf/vldb/MeoPC96
conf/icde/MeoPC98	conf/sigmod/ParkCY95
conf/icde/MeoPC98	conf/vldb/SavasereON95
conf/icde/WangYM99	conf/kdd/AgrawalP95
conf/icde/WangYM99	conf/kdd/EsterFKS98
conf/icde/WangYM99	conf/ssd/EsterKS97
conf/icde/WangYM99	conf/vldb/EsterKSWX98
conf/icde/WangYM99	conf/kdd/EsterKSX96
conf/icde/WangYM99	conf/dmkd/FeldmanAAM97
conf/icde/WangYM99	conf/cosit/Galton97
conf/icde/WangYM99	conf/sigmod/GrumbachRS98
conf/icde/WangYM99	conf/sigmod/HanKS97
conf/icde/WangYM99	conf/cosit/HornsbyE97
conf/icde/WangYM99	 
conf/icde/WangYM99	conf/kdd/KnorrN96
conf/icde/WangYM99	journals/tkde/KnorrN96
conf/icde/WangYM99	conf/ssd/KnorrNS97
conf/icde/WangYM99	conf/dmkd/KoperskiAH96
conf/icde/WangYM99	conf/vldb/NgH94
conf/icde/WangYM99	conf/vldb/WangYM97
conf/icde/WangYM99	books/mk/WidomC96
conf/icde/WangYM99	conf/sigmod/ZaianeHLCC98
conf/icde/WangYM99	books/mk/ZanioloCFSSZ97
conf/icde/WangYM99	 
conf/icde/WangYM99	conf/sigmod/ZhangRL96
conf/er/GeryH99	conf/pkdd/AhonenHKV97
conf/er/GeryH99	conf/vldb/AgrawalS94
conf/er/GeryH99	journals/cn/Beckett97
conf/er/GeryH99	journals/cacm/Berghel97
conf/er/GeryH99	conf/kdd/FeldmanH96
conf/er/GeryH99	books/mit/fayyadPSU96/FayyadPS96
conf/er/GeryH99	journals/cacm/FayyadU96
conf/er/GeryH99	journals/cn/HawkingCTH99
conf/er/GeryH99	conf/aaai/HsuY97
conf/er/GeryH99	conf/adl/OrdonezO99
conf/er/GeryH99	journals/jasis/Schwartz98a
conf/er/GeryH99	conf/sigir/Voorhees94
conf/er/GeryH99	conf/widm/ZaianeH98
conf/er/Kent83	journals/is/TsichritzisK78
